rr_additive_index,percent_muslim_arda,kosovo_recognition_dummy,belgrad_distance,dem2007,gdppc2007,regnum,ethnic_diversity_alesina,usfdigdp19901999_modified,NATO2007,percent_albanian,socialism,Griffiths,distance1000,percent_muslim25
12.6,2.2,0,1005,1,2144.35,5,0.4737,0.000867586,1,2.92E-02,0,0,1.005,0.088
8.3,28.97,1,245,1,3182.98,5,0.5023,0.0009434,1,2.38E+01,0,0,0.245,1.1588
15.4,87.14,0,1833,0,1382.41,7,0.1836,0.02481943,1,0.00E+00,1,0,1.833,3.4856
5.9,2.65,1,1702,1,40452.5,4,0.1211,0.07321509,2,4.89E-02,0,1,1.702,0.106
8.8,31.62,0,5886,0,404.978,6,0.7353,0.00164895,1,0.00E+00,1,0,5.886,1.2648
7.746875,19.02859,1,7635,1,45431,1,0.4901,0.040208359,2,6.27E-02,0,1,7.635,0.7611437
2.2,51.42,1,4135,0,424.497,6,0.7377,0.00109249,1,0.00E+00,0,0,4.135,2.0567999
0,0,0,11628,1,5768.31,3,0.2504,0.02394261,1,0.00E+00,0,0,11.628,0
16.4,82.64,0,3953,0,625.666,5,0.4125,0.0075909,1,0.00E+00,0,0,3.953,3.3056
5.4,0.3,0,9028,1,6287.04,3,0.4966,0.03013387,1,0.00E+00,0,0,9.028,0.012
1.3,0,1,15687,0,2348.45,11,0.1376,0.00372281,1,0.00E+00,0,0,15.687,0
14.8,99.08,0,3926,1,843.257,7,0.2262571,0.077207014,1,0.00E+00,0,1,3.926,3.9632001
9.998985,30.93944,0,8005.279,1,3732.88,5,0.5736,-0.0004762,1,8.49E-01,0,0,8.005279,1.2375777
0.2,1.07,0,6622,0,668.642,6,0.7808,0.00638081,1,0.00E+00,0,0,6.622,0.0428
